PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2016-0106,2/21/2016,FOB - Field Operations Bureau,7th District,Narcotics,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,CEW Deployment,L2,,Yes,Black,Male,41,0,,,,,,,No,No,No,,Other,No
FTN2016-0106,2/21/2016,FOB - Field Operations Bureau,7th District,Narcotics,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,41,0,,,,,,,No,No,No,,Other,No
FTN2016-0545,11/2/2016,FOB - Field Operations Bureau,3rd District,B Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Baton/PR-24 (Miss),L2,Unknown,Yes,Black,Male,59,0,1 feet to 3 feet,,,,,,No,No,No,,refuse verbal commands,No
FTN2018-0349,9/21/2018,FOB - Field Operations Bureau,4th District,K9 Section,,Regular Working,Between 11pm-7am,Completed,UOF Justified With Policy Violation,Arresting,Good,Clear Conditions,Canine (No Bite),L2,Unknown,Yes,White,Male,59,0,11 feet to 14 feet,,,,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2018-0349,9/21/2018,FOB - Field Operations Bureau,4th District,K9 Section,,Regular Working,Between 11pm-7am,Completed,UOF Justified With Policy Violation,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Female,30,0,11 feet to 14 feet,,,,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2018-0349,9/21/2018,FOB - Field Operations Bureau,4th District,K9 Section,,Regular Working,Between 11pm-7am,Completed,UOF Justified With Policy Violation,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,White,Male,33,0,11 feet to 14 feet,,,,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2018-0349,9/21/2018,FOB - Field Operations Bureau,4th District,K9 Section,,Regular Working,Between 11pm-7am,Completed,UOF Justified With Policy Violation,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,38,0,11 feet to 14 feet,,,,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2020-0129,4/27/2020,FOB - Field Operations Bureau,2nd District,Task Force,Task Force A,Regular Working,Between 3pm-11pm,Completed,UOF Justified With Policy Violation,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,White,Male,31,0,0 feet to 1 feet,,,,Medium,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No
FTN2020-0129,4/27/2020,FOB - Field Operations Bureau,2nd District,Task Force,Task Force A,Regular Working,Between 3pm-11pm,Completed,UOF Justified With Policy Violation,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,30,0,0 feet to 1 feet,,,,Medium,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No
FTN2020-0129,4/27/2020,FOB - Field Operations Bureau,2nd District,Task Force,Task Force A,Regular Working,Between 3pm-11pm,Completed,UOF Justified With Policy Violation,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,38,0,0 feet to 1 feet,,,,Medium,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No
FTN2018-0235,6/23/2018,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury),L1,Alchohol,Yes,White,Female,26,0,1 feet to 3 feet,Male,White,52,Small,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2018-0235,6/23/2018,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury),L1,Alchohol,Yes,White,Male,31,0,1 feet to 3 feet,Male,White,52,Small,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2017-0588,11/16/2017,FOB - Field Operations Bureau,6th District,Task Force,B,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Pedestrian Stop,Poor,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,36,0,0 feet to 1 feet,,,,Medium,6'1'' to 6'3'',No,No,No,,Flight from an Officer,No
FTN2016-0623,12/9/2016,FOB - Field Operations Bureau,3rd District,B Platoon,,Regular Working,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser,L1,Mentally unstable,Yes,Hispanic,Male,39,0,0 feet to 1 feet,,,38,Large,5'4'' to 5'6'',No,Yes,No,,refuse verbal commands,No
FTN2016-0012,1/6/2016,FOB - Field Operations Bureau,8th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,White,Male,29,0,22 feet to 25 feet,,,23,Medium,5'7'' to 5'9'',No,No,No,,refuse verbal commands,No
FTN2016-0012,1/6/2016,FOB - Field Operations Bureau,8th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Female,29,0,22 feet to 25 feet,,,23,Medium,5'7'' to 5'9'',No,No,No,,refuse verbal commands,No
FTN2020-0104,4/7/2020,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (w/injury),L2,Unknown,Yes,White,Female,30,0,0 feet to 1 feet,Male,Black,32,Small,5'7'' to 5'9'',Yes,No,Yes,,Resisting Lawful Arrest,No
FTN2020-0104,4/7/2020,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (w/injury),L2,Unknown,Yes,White,Female,50,0,0 feet to 1 feet,Male,Black,32,Small,5'7'' to 5'9'',Yes,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0202,4/9/2016,FOB - Field Operations Bureau,1st District,1st Platoon,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Force (Take Down),L2,Alchohol,Yes,Asian/Pacifi,Male,33,0,1 feet to 3 feet,,,,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0202,4/9/2016,FOB - Field Operations Bureau,1st District,1st Platoon,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Force (Take Down),L2,Alchohol,Yes,Hispanic,Male,49,0,1 feet to 3 feet,,,,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2018-0205,5/30/2018,FOB - Field Operations Bureau,3rd District,Task Force A,Task Force A,Regular Working,Between 7am-3pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,White,Male,34,0,15 feet to 18 feet,Male,Black,39,Medium,6'1'' to 6'3'',Yes,Yes,Yes,,refuse verbal commands,No
FTN2018-0205,5/30/2018,FOB - Field Operations Bureau,3rd District,Task Force A,Task Force A,Regular Working,Between 7am-3pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,CEW Deployment,L2,Unknown,Yes,White,Male,25,0,15 feet to 18 feet,Male,Black,39,Medium,6'1'' to 6'3'',Yes,Yes,Yes,,refuse verbal commands,No
FTN2018-0205,5/30/2018,FOB - Field Operations Bureau,3rd District,Task Force A,Task Force A,Regular Working,Between 7am-3pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,CEW Deployment,L2,Unknown,Limited,White,Male,34,0,15 feet to 18 feet,Male,Black,39,Medium,6'1'' to 6'3'',Yes,Yes,Yes,,refuse verbal commands,No
FTN2017-0057,2/3/2017,FOB - Field Operations Bureau,5th District,5th District,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,28,0,1 feet to 3 feet,Male,Black,20,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2017-0057,2/3/2017,FOB - Field Operations Bureau,5th District,5th District,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,White,Male,29,0,1 feet to 3 feet,Male,Black,20,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2017-0057,2/3/2017,FOB - Field Operations Bureau,5th District,5th District,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,White,Female,45,0,1 feet to 3 feet,Male,Black,20,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2016-0633,12/17/2016,FOB - Field Operations Bureau,Traffic Division,Staff,Special Assignment,Regular Working,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,51,0,11 feet to 14 feet,,,35,Large,5'10'' to 6'0'',No,No,No,,Other,No
FTN2016-0631,12/17/2016,FOB - Field Operations Bureau,4th District,Task Force,A,,,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,42,0,15 feet to 18 feet,,,35,Medium,6'1'' to 6'3'',No,Yes,Yes,,Escape,No
FTN2019-0053,2/8/2019,FOB - Field Operations Bureau,1st District,2nd Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified With Policy Violation,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,41,0,11 feet to 14 feet,,,31,Medium,,No,No,No,,Weapon Exhibited,No
FTN2019-0053,2/8/2019,FOB - Field Operations Bureau,1st District,2nd Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified With Policy Violation,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,White,Male,41,0,11 feet to 14 feet,,,31,Medium,,No,No,No,,Weapon Exhibited,No
FTN2017-0296,6/12/2017,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Rainy Conditions - Light,Force (Take Down),L2,Mentally unstable,Yes,Black,Male,47,0,0 feet to 1 feet,,,42,Medium,5'7'' to 5'9'',No,Yes,No,,refuse verbal commands,No
